Fuel,Year,Month,Registrations,Month_Num
PURE EV,2019,APR,2,4
SOLAR,2019,APR,0,4
CNG ONLY,2019,MAY,2841,5
DIESEL,2019,MAY,240709,5
DIESEL/HYBRID,2019,MAY,3803,5
DUAL DIESEL/CNG,2019,MAY,0,5
ELECTRIC(BOV),2019,MAY,10118,5
ETHANOL,2019,MAY,2,5
LNG,2019,MAY,0,5
LPG ONLY,2019,MAY,241,5
METHANOL,2019,MAY,0,5
NOT APPLICABLE,2019,MAY,6817,5
PETROL,2019,MAY,1762566,5
PETROL(E20)/CNG,2019,MAY,2,5
PETROL(E20)/HYBRID/CNG,2019,MAY,0,5
PETROL(E20)/LPG,2019,MAY,1,5
PETROL/CNG,2019,MAY,36535,5
PETROL/ETHANOL,2019,MAY,1,5
PETROL/HYBRID,2019,MAY,6739,5
PETROL/HYBRID/CNG,2019,MAY,20,5
PETROL/LPG,2019,MAY,9382,5
PURE EV,2019,MAY,5,5
SOLAR,2019,MAY,0,5
CNG ONLY,2019,JUN,2459,6
DIESEL,2019,JUN,223148,6
DIESEL/HYBRID,2019,JUN,2163,6
DUAL DIESEL/CNG,2019,JUN,1,6
ELECTRIC(BOV),2019,JUN,11162,6
ETHANOL,2019,JUN,2,6
LNG,2019,JUN,0,6
LPG ONLY,2019,JUN,216,6
METHANOL,2019,JUN,0,6
NOT APPLICABLE,2019,JUN,5541,6
PETROL,2019,JUN,1634770,6
PETROL(E20)/CNG,2019,JUN,3,6
PETROL(E20)/HYBRID/CNG,2019,JUN,0,6
PETROL(E20)/LPG,2019,JUN,2,6
PETROL/CNG,2019,JUN,30989,6
PETROL/ETHANOL,2019,JUN,0,6
PETROL/HYBRID,2019,JUN,6147,6
PETROL/HYBRID/CNG,2019,JUN,21,6
PETROL/LPG,2019,JUN,8123,6
PURE EV,2019,JUN,11,6
SOLAR,2019,JUN,0,6
CNG ONLY,2019,JUL,2921,7
DIESEL,2019,JUL,251103,7
DIESEL/HYBRID,2019,JUL,1716,7
DUAL DIESEL/CNG,2019,JUL,0,7
ELECTRIC(BOV),2019,JUL,12486,7
ETHANOL,2019,JUL,0,7
LNG,2019,JUL,1,7
LPG ONLY,2019,JUL,234,7
METHANOL,2019,JUL,0,7
NOT APPLICABLE,2019,JUL,6389,7
PETROL,2019,JUL,1712909,7
PETROL(E20)/CNG,2019,JUL,1,7
PETROL(E20)/HYBRID/CNG,2019,JUL,1,7
PETROL(E20)/LPG,2019,JUL,2,7
PETROL/CNG,2019,JUL,35506,7
PETROL/ETHANOL,2019,JUL,1,7
PETROL/HYBRID,2019,JUL,5847,7
PETROL/HYBRID/CNG,2019,JUL,10,7
PETROL/LPG,2019,JUL,9868,7
PURE EV,2019,JUL,11,7
SOLAR,2019,JUL,0,7
CNG ONLY,2019,AUG,2712,8
DIESEL,2019,AUG,225957,8
DIESEL/HYBRID,2019,AUG,1276,8
DUAL DIESEL/CNG,2019,AUG,0,8
ELECTRIC(BOV),2019,AUG,13264,8
ETHANOL,2019,AUG,0,8
LNG,2019,AUG,0,8
LPG ONLY,2019,AUG,218,8
METHANOL,2019,AUG,0,8
NOT APPLICABLE,2019,AUG,5972,8
PETROL,2019,AUG,1515983,8
PETROL(E20)/CNG,2019,AUG,0,8
PETROL(E20)/HYBRID/CNG,2019,AUG,0,8
PETROL(E20)/LPG,2019,AUG,1,8
PETROL/CNG,2019,AUG,33130,8
PETROL/ETHANOL,2019,AUG,1,8
PETROL/HYBRID,2019,AUG,5750,8
PETROL/HYBRID/CNG,2019,AUG,5,8
PETROL/LPG,2019,AUG,8659,8
PURE EV,2019,AUG,12,8
SOLAR,2019,AUG,0,8
CNG ONLY,2019,SEP,2525,9
DIESEL,2019,SEP,198228,9
DIESEL/HYBRID,2019,SEP,1074,9
DUAL DIESEL/CNG,2019,SEP,2,9
ELECTRIC(BOV),2019,SEP,16144,9
ETHANOL,2019,SEP,2,9
LNG,2019,SEP,2,9
LPG ONLY,2019,SEP,213,9
METHANOL,2019,SEP,0,9
NOT APPLICABLE,2019,SEP,5530,9
PETROL,2019,SEP,1386887,9
PETROL(E20)/CNG,2019,SEP,0,9
PETROL(E20)/HYBRID/CNG,2019,SEP,0,9
PETROL(E20)/LPG,2019,SEP,0,9
PETROL/CNG,2019,SEP,28966,9
PETROL/ETHANOL,2019,SEP,0,9
PETROL/HYBRID,2019,SEP,5863,9
PETROL/HYBRID/CNG,2019,SEP,12,9
PETROL/LPG,2019,SEP,8413,9
PURE EV,2019,SEP,2,9
SOLAR,2019,SEP,1,9
CNG ONLY,2019,OCT,2839,10
DIESEL,2019,OCT,233883,10
DIESEL/HYBRID,2019,OCT,1495,10
DUAL DIESEL/CNG,2019,OCT,0,10
ELECTRIC(BOV),2019,OCT,15719,10
ETHANOL,2019,OCT,0,10
LNG,2019,OCT,0,10
LPG ONLY,2019,OCT,53,10
METHANOL,2019,OCT,0,10
NOT APPLICABLE,2019,OCT,6743,10
PETROL,2019,OCT,1804199,10
PETROL(E20)/CNG,2019,OCT,1,10
PETROL(E20)/HYBRID/CNG,2019,OCT,1,10
PETROL(E20)/LPG,2019,OCT,0,10
PETROL/CNG,2019,OCT,43229,10
PETROL/ETHANOL,2019,OCT,1,10
PETROL/HYBRID,2019,OCT,8764,10
PETROL/HYBRID/CNG,2019,OCT,24,10
PETROL/LPG,2019,OCT,8911,10
PURE EV,2019,OCT,3,10
SOLAR,2019,OCT,0,10
CNG ONLY,2019,NOV,2985,11
DIESEL,2019,NOV,261060,11
DIESEL/HYBRID,2019,NOV,1541,11
DUAL DIESEL/CNG,2019,NOV,0,11
ELECTRIC(BOV),2019,NOV,19009,11
ETHANOL,2019,NOV,0,11
LNG,2019,NOV,4,11
LPG ONLY,2019,NOV,264,11
METHANOL,2019,NOV,1,11
NOT APPLICABLE,2019,NOV,7657,11
PETROL,2019,NOV,2178464,11
PETROL(E20)/CNG,2019,NOV,0,11
PETROL(E20)/HYBRID/CNG,2019,NOV,1,11
PETROL(E20)/LPG,2019,NOV,0,11
PETROL/CNG,2019,NOV,42335,11
PETROL/ETHANOL,2019,NOV,1,11
PETROL/HYBRID,2019,NOV,7270,11
PETROL/HYBRID/CNG,2019,NOV,13,11
PETROL/LPG,2019,NOV,10202,11
PURE EV,2019,NOV,2,11
SOLAR,2019,NOV,0,11
CNG ONLY,2019,DEC,2318,12
DIESEL,2019,DEC,229116,12
DIESEL/HYBRID,2019,DEC,975,12
DUAL DIESEL/CNG,2019,DEC,0,12
ELECTRIC(BOV),2019,DEC,17038,12
ETHANOL,2019,DEC,1,12
LNG,2019,DEC,1,12
LPG ONLY,2019,DEC,282,12
METHANOL,2019,DEC,1,12
NOT APPLICABLE,2019,DEC,8282,12
PETROL,2019,DEC,1589180,12
PETROL(E20)/CNG,2019,DEC,0,12
PETROL(E20)/HYBRID/CNG,2019,DEC,0,12
PETROL(E20)/LPG,2019,DEC,0,12
PETROL/CNG,2019,DEC,32934,12
PETROL/ETHANOL,2019,DEC,0,12
PETROL/HYBRID,2019,DEC,5490,12
PETROL/HYBRID/CNG,2019,DEC,6,12
PETROL/LPG,2019,DEC,7622,12
PURE EV,2019,DEC,14,12
SOLAR,2019,DEC,0,12
CNG ONLY,2020,JAN,3199,1
DIESEL,2020,JAN,275095,1
DIESEL/HYBRID,2020,JAN,1400,1
DUAL DIESEL/BIO CNG,2020,JAN,1,1
DUAL DIESEL/CNG,2020,JAN,0,1
ELECTRIC(BOV),2020,JAN,16856,1
ETHANOL,2020,JAN,0,1
LNG,2020,JAN,3,1
LPG ONLY,2020,JAN,176,1
METHANOL,2020,JAN,0,1
NOT APPLICABLE,2020,JAN,8466,1
PETROL,2020,JAN,1637717,1
PETROL(E20)/CNG,2020,JAN,2,1
PETROL(E20)/HYBRID/CNG,2020,JAN,0,1
PETROL(E20)/LPG,2020,JAN,1,1
PETROL/CNG,2020,JAN,44082,1
PETROL/ETHANOL,2020,JAN,0,1
PETROL/HYBRID,2020,JAN,6023,1
PETROL/HYBRID/CNG,2020,JAN,11,1
PETROL/LPG,2020,JAN,9829,1
PURE EV,2020,JAN,9,1
CNG ONLY,2020,FEB,3665,2
DIESEL,2020,FEB,262146,2
DIESEL/HYBRID,2020,FEB,748,2
DUAL DIESEL/BIO CNG,2020,FEB,0,2
DUAL DIESEL/CNG,2020,FEB,0,2
ELECTRIC(BOV),2020,FEB,16575,2
ETHANOL,2020,FEB,1,2
LNG,2020,FEB,12,2
LPG ONLY,2020,FEB,338,2
METHANOL,2020,FEB,1,2
NOT APPLICABLE,2020,FEB,8446,2
PETROL,2020,FEB,1620100,2
PETROL(E20)/CNG,2020,FEB,0,2
PETROL(E20)/HYBRID/CNG,2020,FEB,0,2
PETROL(E20)/LPG,2020,FEB,2,2
PETROL/CNG,2020,FEB,34619,2
PETROL/ETHANOL,2020,FEB,3,2
PETROL/HYBRID,2020,FEB,5239,2
PETROL/HYBRID/CNG,2020,FEB,13,2
PETROL/LPG,2020,FEB,9758,2
PURE EV,2020,FEB,10,2
CNG ONLY,2020,MAR,6949,3
DIESEL,2020,MAR,306675,3
DIESEL/HYBRID,2020,MAR,594,3
DUAL DIESEL/BIO CNG,2020,MAR,0,3
DUAL DIESEL/CNG,2020,MAR,2,3
ELECTRIC(BOV),2020,MAR,14066,3
ETHANOL,2020,MAR,0,3
LNG,2020,MAR,4,3
LPG ONLY,2020,MAR,1231,3
METHANOL,2020,MAR,0,3
NOT APPLICABLE,2020,MAR,8198,3
PETROL,2020,MAR,2212439,3
PETROL(E20)/CNG,2020,MAR,0,3
PETROL(E20)/HYBRID/CNG,2020,MAR,2,3
PETROL(E20)/LPG,2020,MAR,0,3
PETROL/CNG,2020,MAR,27135,3
PETROL/ETHANOL,2020,MAR,1,3
PETROL/HYBRID,2020,MAR,7777,3
PETROL/HYBRID/CNG,2020,MAR,16,3
PETROL/LPG,2020,MAR,9016,3
PURE EV,2020,MAR,9,3
CNG ONLY,2020,APR,1987,4
DIESEL,2020,APR,47315,4
DIESEL/HYBRID,2020,APR,113,4
DUAL DIESEL/BIO CNG,2020,APR,0,4
DUAL DIESEL/CNG,2020,APR,2,4
ELECTRIC(BOV),2020,APR,981,4
ETHANOL,2020,APR,0,4
LNG,2020,APR,0,4
LPG ONLY,2020,APR,76,4
METHANOL,2020,APR,0,4
NOT APPLICABLE,2020,APR,497,4
PETROL,2020,APR,431069,4
PETROL(E20)/CNG,2020,APR,0,4
PETROL(E20)/HYBRID/CNG,2020,APR,0,4
PETROL(E20)/LPG,2020,APR,0,4
PETROL/CNG,2020,APR,3487,4
PETROL/ETHANOL,2020,APR,0,4
PETROL/HYBRID,2020,APR,493,4
PETROL/HYBRID/CNG,2020,APR,1,4
PETROL/LPG,2020,APR,810,4
PURE EV,2020,APR,0,4
CNG ONLY,2020,MAY,190,5
DIESEL,2020,MAY,18561,5
DIESEL/HYBRID,2020,MAY,0,5
DUAL DIESEL/BIO CNG,2020,MAY,0,5
DUAL DIESEL/CNG,2020,MAY,0,5
ELECTRIC(BOV),2020,MAY,1310,5
ETHANOL,2020,MAY,0,5
LNG,2020,MAY,0,5
LPG ONLY,2020,MAY,193,5
METHANOL,2020,MAY,0,5
NOT APPLICABLE,2020,MAY,1964,5
PETROL,2020,MAY,217767,5
PETROL(E20)/CNG,2020,MAY,1,5
PETROL(E20)/HYBRID/CNG,2020,MAY,0,5
PETROL(E20)/LPG,2020,MAY,0,5
PETROL/CNG,2020,MAY,1626,5
PETROL/ETHANOL,2020,MAY,1,5
PETROL/HYBRID,2020,MAY,1704,5
PETROL/HYBRID/CNG,2020,MAY,0,5
PETROL/LPG,2020,MAY,249,5
PURE EV,2020,MAY,0,5
CNG ONLY,2020,JUN,1867,6
DIESEL,2020,JUN,94786,6
DIESEL/HYBRID,2020,JUN,3,6
DUAL DIESEL/BIO CNG,2020,JUN,0,6
DUAL DIESEL/CNG,2020,JUN,0,6
ELECTRIC(BOV),2020,JUN,6490,6
ETHANOL,2020,JUN,1,6
LNG,2020,JUN,0,6
LPG ONLY,2020,JUN,785,6
METHANOL,2020,JUN,0,6
NOT APPLICABLE,2020,JUN,6565,6
PETROL,2020,JUN,1012252,6
PETROL(E20)/CNG,2020,JUN,0,6
PETROL(E20)/HYBRID/CNG,2020,JUN,0,6
PETROL(E20)/LPG,2020,JUN,0,6
PETROL/CNG,2020,JUN,9773,6
PETROL/ETHANOL,2020,JUN,1,6
PETROL/HYBRID,2020,JUN,6555,6
PETROL/HYBRID/CNG,2020,JUN,20,6
PETROL/LPG,2020,JUN,776,6
PURE EV,2020,JUN,0,6
CNG ONLY,2020,JUL,2445,7
DIESEL,2020,JUL,149054,7
DIESEL/HYBRID,2020,JUL,1,7
DUAL DIESEL/BIO CNG,2020,JUL,0,7
DUAL DIESEL/CNG,2020,JUL,0,7
ELECTRIC(BOV),2020,JUL,7799,7
ETHANOL,2020,JUL,0,7
LNG,2020,JUL,0,7
LPG ONLY,2020,JUL,909,7
METHANOL,2020,JUL,1,7
NOT APPLICABLE,2020,JUL,6897,7
PETROL,2020,JUL,1140902,7
PETROL(E20)/CNG,2020,JUL,0,7
PETROL(E20)/HYBRID/CNG,2020,JUL,2,7
PETROL(E20)/LPG,2020,JUL,0,7
PETROL/CNG,2020,JUL,14352,7
PETROL/ETHANOL,2020,JUL,2,7
PETROL/HYBRID,2020,JUL,6642,7
PETROL/HYBRID/CNG,2020,JUL,30,7
PETROL/LPG,2020,JUL,1256,7
PURE EV,2020,JUL,0,7
CNG ONLY,2020,AUG,2898,8
DIESEL,2020,AUG,148746,8
DIESEL/HYBRID,2020,AUG,3,8
DUAL DIESEL/BIO CNG,2020,AUG,0,8
DUAL DIESEL/CNG,2020,AUG,0,8
ELECTRIC(BOV),2020,AUG,8558,8
ETHANOL,2020,AUG,1,8
LNG,2020,AUG,0,8
LPG ONLY,2020,AUG,895,8
METHANOL,2020,AUG,0,8
NOT APPLICABLE,2020,AUG,6697,8
PETROL,2020,AUG,1205962,8
PETROL(E20)/CNG,2020,AUG,2,8
PETROL(E20)/HYBRID/CNG,2020,AUG,4,8
PETROL(E20)/LPG,2020,AUG,1,8
PETROL/CNG,2020,AUG,18194,8
PETROL/ETHANOL,2020,AUG,1,8
PETROL/HYBRID,2020,AUG,8450,8
PETROL/HYBRID/CNG,2020,AUG,35,8
PETROL/LPG,2020,AUG,1192,8
PURE EV,2020,AUG,0,8
CNG ONLY,2020,SEP,4145,9
DIESEL,2020,SEP,173148,9
DIESEL/HYBRID,2020,SEP,42,9
DUAL DIESEL/BIO CNG,2020,SEP,0,9
DUAL DIESEL/CNG,2020,SEP,0,9
ELECTRIC(BOV),2020,SEP,11349,9
ETHANOL,2020,SEP,0,9
LNG,2020,SEP,0,9
LPG ONLY,2020,SEP,1332,9
METHANOL,2020,SEP,0,9
NOT APPLICABLE,2020,SEP,8170,9
PETROL,2020,SEP,1336098,9
PETROL(E20)/CNG,2020,SEP,5,9
PETROL(E20)/HYBRID/CNG,2020,SEP,0,9
PETROL(E20)/LPG,2020,SEP,0,9
PETROL/CNG,2020,SEP,18370,9
PETROL/ETHANOL,2020,SEP,0,9
PETROL/HYBRID,2020,SEP,9770,9
PETROL/HYBRID/CNG,2020,SEP,31,9
PETROL/LPG,2020,SEP,2411,9
PURE EV,2020,SEP,0,9
CNG ONLY,2020,OCT,5003,10
DIESEL,2020,OCT,169600,10
DIESEL/HYBRID,2020,OCT,13,10
DUAL DIESEL/BIO CNG,2020,OCT,0,10
DUAL DIESEL/CNG,2020,OCT,0,10
ELECTRIC(BOV),2020,OCT,11460,10
ETHANOL,2020,OCT,0,10
LNG,2020,OCT,0,10
LPG ONLY,2020,OCT,1313,10
METHANOL,2020,OCT,0,10
NOT APPLICABLE,2020,OCT,8303,10
PETROL,2020,OCT,1430240,10
PETROL(E20)/CNG,2020,OCT,1,10
PETROL(E20)/HYBRID/CNG,2020,OCT,3,10
PETROL(E20)/LPG,2020,OCT,0,10
PETROL/CNG,2020,OCT,25365,10
PETROL/ETHANOL,2020,OCT,1,10
PETROL/HYBRID,2020,OCT,11104,10
PETROL/HYBRID/CNG,2020,OCT,38,10
PETROL/LPG,2020,OCT,1837,10
PURE EV,2020,OCT,0,10
CNG ONLY,2020,NOV,6116,11
DIESEL,2020,NOV,179283,11
DIESEL/HYBRID,2020,NOV,7,11
DUAL DIESEL/BIO CNG,2020,NOV,0,11
DUAL DIESEL/CNG,2020,NOV,1,11
ELECTRIC(BOV),2020,NOV,13382,11
ETHANOL,2020,NOV,0,11
LNG,2020,NOV,0,11
LPG ONLY,2020,NOV,1341,11
METHANOL,2020,NOV,0,11
NOT APPLICABLE,2020,NOV,7802,11
PETROL,2020,NOV,1873463,11
PETROL(E20)/CNG,2020,NOV,1,11
PETROL(E20)/HYBRID/CNG,2020,NOV,3,11
PETROL(E20)/LPG,2020,NOV,0,11
PETROL/CNG,2020,NOV,27989,11
PETROL/ETHANOL,2020,NOV,0,11
PETROL/HYBRID,2020,NOV,12922,11
PETROL/HYBRID/CNG,2020,NOV,33,11
PETROL/LPG,2020,NOV,1886,11
PURE EV,2020,NOV,0,11
CNG ONLY,2020,DEC,4878,12
DIESEL,2020,DEC,201141,12
DIESEL/HYBRID,2020,DEC,9,12
DUAL DIESEL/BIO CNG,2020,DEC,0,12
DUAL DIESEL/CNG,2020,DEC,0,12
ELECTRIC(BOV),2020,DEC,15856,12
ETHANOL,2020,DEC,0,12
LNG,2020,DEC,0,12
LPG ONLY,2020,DEC,1321,12
METHANOL,2020,DEC,0,12
NOT APPLICABLE,2020,DEC,8186,12
PETROL,2020,DEC,1848026,12
PETROL(E20)/CNG,2020,DEC,2,12
PETROL(E20)/HYBRID/CNG,2020,DEC,3,12
PETROL(E20)/LPG,2020,DEC,0,12
PETROL/CNG,2020,DEC,26886,12
PETROL/ETHANOL,2020,DEC,3,12
PETROL/HYBRID,2020,DEC,12618,12
PETROL/HYBRID/CNG,2020,DEC,33,12
PETROL/LPG,2020,DEC,2097,12
PURE EV,2020,DEC,0,12
CNG ONLY,2021,JAN,6072,1
DIESEL,2021,JAN,195487,1
DIESEL/HYBRID,2021,JAN,9,1
DUAL DIESEL/CNG,2021,JAN,0,1
ELECTRIC(BOV),2021,JAN,17035,1
LNG,2021,JAN,0,1
LPG ONLY,2021,JAN,1082,1
METHANOL,2021,JAN,0,1
NOT APPLICABLE,2021,JAN,7669,1
PETROL,2021,JAN,1587213,1
PETROL(E20)/CNG,2021,JAN,5,1
PETROL(E20)/HYBRID/CNG,2021,JAN,3,1
PETROL(E20)/LPG,2021,JAN,1,1
PETROL/CNG,2021,JAN,33448,1
PETROL/ETHANOL,2021,JAN,0,1
PETROL/HYBRID,2021,JAN,13618,1
PETROL/HYBRID/CNG,2021,JAN,39,1
PETROL/LPG,2021,JAN,3027,1
SOLAR,2021,JAN,0,1
CNG ONLY,2021,FEB,10968,2
DIESEL,2021,FEB,192665,2
DIESEL/HYBRID,2021,FEB,6,2
DUAL DIESEL/CNG,2021,FEB,0,2
ELECTRIC(BOV),2021,FEB,20067,2
LNG,2021,FEB,0,2
LPG ONLY,2021,FEB,889,2
METHANOL,2021,FEB,1,2
NOT APPLICABLE,2021,FEB,7602,2
PETROL,2021,FEB,1429631,2
PETROL(E20)/CNG,2021,FEB,1,2
PETROL(E20)/HYBRID/CNG,2021,FEB,1,2
PETROL(E20)/LPG,2021,FEB,1,2
PETROL/CNG,2021,FEB,28536,2
PETROL/ETHANOL,2021,FEB,1,2
PETROL/HYBRID,2021,FEB,11283,2
PETROL/HYBRID/CNG,2021,FEB,40,2
PETROL/LPG,2021,FEB,3394,2
SOLAR,2021,FEB,0,2
CNG ONLY,2021,MAR,13616,3
DIESEL,2021,MAR,220111,3
DIESEL/HYBRID,2021,MAR,0,3
DUAL DIESEL/CNG,2021,MAR,0,3
ELECTRIC(BOV),2021,MAR,28110,3
LNG,2021,MAR,0,3
LPG ONLY,2021,MAR,765,3
METHANOL,2021,MAR,0,3
NOT APPLICABLE,2021,MAR,9561,3
PETROL,2021,MAR,1555537,3
PETROL(E20)/CNG,2021,MAR,3,3
PETROL(E20)/HYBRID/CNG,2021,MAR,1,3
PETROL(E20)/LPG,2021,MAR,0,3
PETROL/CNG,2021,MAR,31397,3
PETROL/ETHANOL,2021,MAR,0,3
PETROL/HYBRID,2021,MAR,12966,3
PETROL/HYBRID/CNG,2021,MAR,33,3
PETROL/LPG,2021,MAR,4018,3
SOLAR,2021,MAR,0,3
CNG ONLY,2021,APR,8524,4
DIESEL,2021,APR,139945,4
DIESEL/HYBRID,2021,APR,4,4
DUAL DIESEL/CNG,2021,APR,5,4
ELECTRIC(BOV),2021,APR,15027,4
LNG,2021,APR,0,4
LPG ONLY,2021,APR,1320,4
METHANOL,2021,APR,0,4
NOT APPLICABLE,2021,APR,5111,4
PETROL,2021,APR,1114785,4
PETROL(E20)/CNG,2021,APR,2,4
PETROL(E20)/HYBRID/CNG,2021,APR,1,4
PETROL(E20)/LPG,2021,APR,0,4
PETROL/CNG,2021,APR,18594,4
PETROL/ETHANOL,2021,APR,0,4
PETROL/HYBRID,2021,APR,8638,4
PETROL/HYBRID/CNG,2021,APR,20,4
PETROL/LPG,2021,APR,1373,4
SOLAR,2021,APR,0,4
CNG ONLY,2021,MAY,2242,5
DIESEL,2021,MAY,57650,5
DIESEL/HYBRID,2021,MAY,3,5
DUAL DIESEL/CNG,2021,MAY,1,5
ELECTRIC(BOV),2021,MAY,3606,5
LNG,2021,MAY,0,5
LPG ONLY,2021,MAY,319,5
METHANOL,2021,MAY,0,5
NOT APPLICABLE,2021,MAY,1439,5
PETROL,2021,MAY,518999,5
PETROL(E20)/CNG,2021,MAY,0,5
PETROL(E20)/HYBRID/CNG,2021,MAY,0,5
PETROL(E20)/LPG,2021,MAY,0,5
PETROL/CNG,2021,MAY,10433,5
PETROL/ETHANOL,2021,MAY,0,5
PETROL/HYBRID,2021,MAY,3283,5
PETROL/HYBRID/CNG,2021,MAY,4,5
PETROL/LPG,2021,MAY,284,5
SOLAR,2021,MAY,0,5
CNG ONLY,2021,JUN,7093,6
DIESEL,2021,JUN,145633,6
DIESEL/HYBRID,2021,JUN,3,6
DUAL DIESEL/CNG,2021,JUN,4,6
ELECTRIC(BOV),2021,JUN,12333,6
LNG,2021,JUN,0,6
LPG ONLY,2021,JUN,476,6
METHANOL,2021,JUN,0,6
NOT APPLICABLE,2021,JUN,3827,6
PETROL,2021,JUN,1210371,6
PETROL(E20)/CNG,2021,JUN,4,6
PETROL(E20)/HYBRID/CNG,2021,JUN,1,6
PETROL(E20)/LPG,2021,JUN,0,6
PETROL/CNG,2021,JUN,17818,6
PETROL/ETHANOL,2021,JUN,0,6
PETROL/HYBRID,2021,JUN,7802,6
PETROL/HYBRID/CNG,2021,JUN,22,6
PETROL/LPG,2021,JUN,1014,6
SOLAR,2021,JUN,0,6
CNG ONLY,2021,JUL,13901,7
DIESEL,2021,JUL,209373,7
DIESEL/HYBRID,2021,JUL,3,7
DUAL DIESEL/CNG,2021,JUL,1,7
ELECTRIC(BOV),2021,JUL,28166,7
LNG,2021,JUL,0,7
LPG ONLY,2021,JUL,1325,7
METHANOL,2021,JUL,1,7
NOT APPLICABLE,2021,JUL,6391,7
PETROL,2021,JUL,1467516,7
PETROL(E20)/CNG,2021,JUL,0,7
PETROL(E20)/HYBRID/CNG,2021,JUL,0,7
PETROL(E20)/LPG,2021,JUL,0,7
PETROL/CNG,2021,JUL,31223,7
PETROL/ETHANOL,2021,JUL,0,7
PETROL/HYBRID,2021,JUL,13322,7
PETROL/HYBRID/CNG,2021,JUL,42,7
PETROL/LPG,2021,JUL,1579,7
SOLAR,2021,JUL,0,7
CNG ONLY,2021,AUG,16270,8
DIESEL,2021,AUG,191969,8
DIESEL/HYBRID,2021,AUG,5,8
DUAL DIESEL/CNG,2021,AUG,2,8
ELECTRIC(BOV),2021,AUG,30841,8
LNG,2021,AUG,0,8
LPG ONLY,2021,AUG,1406,8
METHANOL,2021,AUG,0,8
NOT APPLICABLE,2021,AUG,6847,8
PETROL,2021,AUG,1272355,8
PETROL(E20)/CNG,2021,AUG,3,8
PETROL(E20)/HYBRID/CNG,2021,AUG,1,8
PETROL(E20)/LPG,2021,AUG,0,8
PETROL/CNG,2021,AUG,29429,8
PETROL/ETHANOL,2021,AUG,0,8
PETROL/HYBRID,2021,AUG,12721,8
PETROL/HYBRID/CNG,2021,AUG,25,8
PETROL/LPG,2021,AUG,1574,8
SOLAR,2021,AUG,0,8
CNG ONLY,2021,SEP,20901,9
DIESEL,2021,SEP,168020,9
DIESEL/HYBRID,2021,SEP,0,9
DUAL DIESEL/CNG,2021,SEP,0,9
ELECTRIC(BOV),2021,SEP,36605,9
LNG,2021,SEP,0,9
LPG ONLY,2021,SEP,1498,9
METHANOL,2021,SEP,0,9
NOT APPLICABLE,2021,SEP,7001,9
PETROL,2021,SEP,1191688,9
PETROL(E20)/CNG,2021,SEP,2,9
PETROL(E20)/HYBRID/CNG,2021,SEP,1,9
PETROL(E20)/LPG,2021,SEP,0,9
PETROL/CNG,2021,SEP,24088,9
PETROL/ETHANOL,2021,SEP,0,9
PETROL/HYBRID,2021,SEP,11060,9
PETROL/HYBRID/CNG,2021,SEP,28,9
PETROL/LPG,2021,SEP,1454,9
SOLAR,2021,SEP,0,9
CNG ONLY,2021,OCT,21940,10
DIESEL,2021,OCT,152863,10
DIESEL/HYBRID,2021,OCT,1,10
DUAL DIESEL/CNG,2021,OCT,0,10
ELECTRIC(BOV),2021,OCT,40961,10
LNG,2021,OCT,0,10
LPG ONLY,2021,OCT,1270,10
METHANOL,2021,OCT,0,10
NOT APPLICABLE,2021,OCT,7305,10
PETROL,2021,OCT,1291943,10
PETROL(E20)/CNG,2021,OCT,4,10
PETROL(E20)/HYBRID/CNG,2021,OCT,1,10
PETROL(E20)/LPG,2021,OCT,1,10
PETROL/CNG,2021,OCT,21407,10
PETROL/ETHANOL,2021,OCT,0,10
PETROL/HYBRID,2021,OCT,13256,10
PETROL/HYBRID/CNG,2021,OCT,42,10
PETROL/LPG,2021,OCT,1173,10
SOLAR,2021,OCT,0,10
CNG ONLY,2021,NOV,22774,11
DIESEL,2021,NOV,158507,11
DIESEL/HYBRID,2021,NOV,2,11
DUAL DIESEL/CNG,2021,NOV,1,11
ELECTRIC(BOV),2021,NOV,45092,11
LNG,2021,NOV,1,11
LPG ONLY,2021,NOV,1663,11
METHANOL,2021,NOV,0,11
NOT APPLICABLE,2021,NOV,6013,11
PETROL,2021,NOV,1762839,11
PETROL(E20)/CNG,2021,NOV,0,11
PETROL(E20)/HYBRID/CNG,2021,NOV,0,11
PETROL(E20)/LPG,2021,NOV,0,11
PETROL/CNG,2021,NOV,22504,11
PETROL/ETHANOL,2021,NOV,1,11
PETROL/HYBRID,2021,NOV,12503,11
PETROL/HYBRID/CNG,2021,NOV,42,11
PETROL/LPG,2021,NOV,1339,11
SOLAR,2021,NOV,1,11
CNG ONLY,2021,DEC,22039,12
DIESEL,2021,DEC,180447,12
DIESEL/HYBRID,2021,DEC,2,12
DUAL DIESEL/CNG,2021,DEC,0,12
ELECTRIC(BOV),2021,DEC,53759,12
LNG,2021,DEC,0,12
LPG ONLY,2021,DEC,1402,12
METHANOL,2021,DEC,0,12
NOT APPLICABLE,2021,DEC,7371,12
PETROL,2021,DEC,1463220,12
PETROL(E20)/CNG,2021,DEC,4,12
PETROL(E20)/HYBRID/CNG,2021,DEC,1,12
PETROL(E20)/LPG,2021,DEC,0,12
PETROL/CNG,2021,DEC,24373,12
PETROL/ETHANOL,2021,DEC,2,12
PETROL/HYBRID,2021,DEC,10409,12
PETROL/HYBRID/CNG,2021,DEC,33,12
PETROL/LPG,2021,DEC,1294,12
