State,EV_Registrations,Total_Registrations,EV_Share_Pct,Year
JHARKHAND,27075,1090012,2.48,2023
KARNATAKA,185027,3493408,5.3,2023
KERALA,96675,1518586,6.37,2023
LADAKH,298,10326,2.89,2023
LAKSHADWEEP,9,1234,0.73,2023
MADHYA PRADESH,79749,2996904,2.66,2023
MAHARASHTRA,231332,5126896,4.51,2023
MANIPUR,917,53420,1.72,2023
MEGHALAYA,912,80710,1.13,2023
MIZORAM,390,57356,0.68,2023
NAGALAND,1044,54704,1.91,2023
ODISHA,53564,1479642,3.62,2023
PUDUCHERRY,3830,110588,3.46,2023
PUNJAB,39477,1282188,3.08,2023
RAJASTHAN,106975,3050330,3.51,2023
SIKKIM,152,22016,0.69,2023
TAMIL NADU,114733,3652272,3.14,2023
TRIPURA,6476,113378,5.71,2023
UT OF DNH AND DD,742,44628,1.66,2023
UTTAR PRADESH,307717,6889022,4.47,2023
UTTARAKHAND,21160,513832,4.12,2023
WEST BENGAL,29953,2004528,1.49,2023
ANDAMAN & NICOBAR ISLAND,341,16922,2.02,2024
ANDHRA PRADESH,65451,1823958,3.59,2024
ARUNACHAL PRADESH,1296,73626,1.76,2024
ASSAM,76781,1259062,6.1,2024
BIHAR,119428,2790432,4.28,2024
CHANDIGARH,9635,92804,10.38,2024
CHHATTISGARH,59591,1428044,4.17,2024
DELHI,103583,1422216,7.28,2024
GOA,14993,168628,8.89,2024
GUJARAT,97174,3798584,2.56,2024
HARYANA,68409,1992548,3.43,2024
HIMACHAL PRADESH,6766,295522,2.29,2024
JAMMU AND KASHMIR,17904,358850,4.99,2024
JHARKHAND,32704,1158372,2.82,2024
KARNATAKA,210482,3776446,5.57,2024
KERALA,110679,1558660,7.1,2024
LADAKH,428,10868,3.94,2024
LAKSHADWEEP,15,1150,1.3,2024
MADHYA PRADESH,112237,3335444,3.36,2024
MAHARASHTRA,279986,5775182,4.85,2024
MANIPUR,1151,56112,2.05,2024
MEGHALAYA,1614,84762,1.9,2024
MIZORAM,770,60002,1.28,2024
NAGALAND,972,55452,1.75,2024
ODISHA,75219,1621978,4.64,2024
PUDUCHERRY,6057,130970,4.62,2024
PUNJAB,60708,1411464,4.3,2024
RAJASTHAN,121735,3307390,3.68,2024
SIKKIM,173,23360,0.74,2024
TAMIL NADU,158796,3907050,4.06,2024
TRIPURA,9857,127332,7.74,2024
UT OF DNH AND DD,1116,48456,2.3,2024
UTTAR PRADESH,402426,7516360,5.35,2024
UTTARAKHAND,24927,563582,4.42,2024
WEST BENGAL,55359,2369884,2.34,2024
